id,nomLatin,famille,type,rendement_actuel,rendement_AI,besoinN_actuel,besoinN_AI,besoinP_actuel,besoinP_AI,besoinK_actuel,besoinK_AI,besoinEau_actuel,besoinEau_AI,densite_actuel,densite_AI,doseSemis_actuel,doseSemis_AI,tauxGermination_actuel,tauxGermination_AI,temperatureGerm_actuel,temperatureGerm_AI,joursLevee_actuel,joursLevee_AI,prixKg_actuel,prixKg_AI,niveau,conservation,description_actuelle,description_AI,sources_AI
Radis noir,,Brassicaceae,legume,2.0,2.5,6.0,2,4.0,2,10.0,3,,3,30.0,20.0,4.5,20,4.5,85.0,7-32,15,4.0,5,,4.0,Facile,False,,Radis hiver,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Raifort,,Brassicaceae,legume,,2.0,,2,,2,,3,,3,,4.0,,NON_TROUVE,,85.0,,15,,15,,15.0,,False,,Racine piquante,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Ricin,,Euphorbiaceae,aromatique,,1.0,10.0,3,5.0,2,12.0,2,,3,0.4,1.0,0.5,1,,85.0,,20,,10,,NON_TROUVE,Moyen,False,,Ornemental toxique,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Romarin,,Lamiaceae,aromatique,,1.5,,1,,1,,1,,1,,2.0,,2,,85.0,,18,,20,,25.0,,False,,Arbuste sec,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Roquette,,Brassicaceae,legume,2.5,1.5,8.0,3,5.0,2,13.0,3,,3,107.0,50.0,,50,,85.0,,15,,4,,12.0,Facile,False,,Salade piquante,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Salsifis,,Asteraceae,legume,2.25,2.0,,2,,2,,3,,2,32.0,20.0,1.1,20,12.0,85.0,15,15,14.0,12,,6.0,Moyen,False,,Racine ancienne,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Sarrasin,,Polygonaceae,engrais_vert,0.2,1.5,8.0,1,4.0,1,11.0,1,,2,,50.0,5.5,50,,85.0,10-15,15,8.0,6,,6.0,Facile,False,,Blé noir,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Sarriette,,Lamiaceae,aromatique,,1.0,,1,,1,,1,,1,8.0,10.0,,10,,85.0,18,18,,15,,30.0,Moyen,False,,Aromatique vivace,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Sauge,,Lamiaceae,aromatique,,1.5,,2,,1,,2,,1,,4.0,,4,,85.0,,20,,15,,30.0,,False,,Médicinale,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Sorgho,,Poaceae,engrais_vert,0.6,3.0,14.0,3,6.0,2,15.0,3,,2,,15.0,4.5,15,,85.0,20-30,20,8.0,8,,5.0,Moyen,False,,Céréale africaine,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Souci,,Asteraceae,aromatique,,1.0,10.0,2,8.0,1,10.0,2,,2,8.5,10.0,,10,,85.0,,15,,10,,30.0,Facile,False,,Fleur compagne,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Sureau,,,legume,,3.0,,2,,1,,2,,2,,0.1,,0.1,,85.0,,NON_TROUVE,,NON_TROUVE,,10.0,,False,,Baies/fleurs,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Tagètes,,Asteraceae,ornement,,1.0,,2,,1,,2,,2,16.0,10.0,,NON_TROUVE,,85.0,,18,,8,,NON_TROUVE,Facile,False,,Oeillet d'inde,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Thym,,Lamiaceae,aromatique,,1.0,,1,,1,,1,,1,,10.0,,10,,85.0,,18,,15,,35.0,,False,,Aromatique sec,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Tilleul,,Malvaceae,arbre_fruitier,,2.0,,1,,1,,2,,2,,0.01,,0.01,,85.0,,NON_TROUVE,,NON_TROUVE,,40.0,,False,,Tisane fleurs,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Tomate,Solanum lycopersicum,Solanacées,legume,8.0,10.0,4.0,4,3.0,4,4.0,5,4.0,4,2.7,2.5,0.03,2.5,4.0,85.0,16-30,22,7.0,7,,3.5,Moyen,False,,"Fruit rouge, tuteur","RNM FranceAgriMer 2026, ITAB, Guides Bio"
Topinambour,,Asteraceae,legume,1.0,4.0,10.0,1,5.0,1,16.0,2,,2,3.3,4.0,,4,,85.0,,12,,15,,3.0,Facile,False,,Tubercule vivace,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Tournesol,,Apiaceae,engrais_vert,1.0,2.5,10.0,3,8.0,2,15.0,3,,3,8.0,6.0,,6,7.0,85.0,,15,,8,,4.0,Facile,False,,Fleur géante,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Trèfle blanc,,Fabaceae,engrais_vert,,0,5.0,1,4.0,1,8.0,1,,2,,200.0,1.0,NON_TROUVE,,85.0,5-10,12,8.0,8,,0,Moyen,False,,Engrais vert azoté,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Trèfle incarnat,,Fabacées,engrais_vert,,0,,1,,1,,1,2.0,2,,200.0,,NON_TROUVE,,85.0,,12,,8,,0,,,,Engrais vert azoté,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Trèfle violet,,Fabaceae,engrais_vert,,0,5.0,1,4.0,1,8.0,1,,2,,200.0,2.0,NON_TROUVE,,85.0,5-10,12,8.0,8,,0,Moyen,False,,Engrais vert azoté,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Vesce,,Fabaceae,engrais_vert,0.4,0,5.0,1,4.0,1,8.0,1,,2,,50.0,12.0,NON_TROUVE,,85.0,5-10,10,8.0,10,,0,Moyen,False,,Engrais vert légumineuse,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Vigne,,,petit_fruit,,3.0,,2,,2,,4,,2,,0.3,,0.3,,85.0,,NON_TROUVE,,NON_TROUVE,,6.0,,False,,Raisin table,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Échalote,,Alliacées,legume,1.5,2.0,2.0,2,,2,,3,2.0,1,,20.0,,NON_TROUVE,,85.0,,10,,15,,6.5,,,,Bulbe condimentaire,"RNM FranceAgriMer 2026, ITAB, Guides Bio"
Épinard,Spinacia oleracea,Chénopodiacées,legume,2.0,2.0,3.0,4,2.0,2,3.0,3,3.0,4,,40.0,,NON_TROUVE,,85.0,,12,,10,,5.81,Facile,,,"Feuille, jours courts","RNM FranceAgriMer 2026, ITAB, Guides Bio"
